Manufacturer Part Number,Supplier Part Number,Description,Package,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Link
FCC0402B472K500AT,C5137597,4.7nF ±10% 50V Ceramic Capacitor X7R 0402,0402,4.7nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137597.html
FCC0603X225K250CT,C5137596,2.2uF ±10% 25V Ceramic Capacitor X5R 0603,0603,2.2uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137596.html
FCC0402B272K500AT,C5137593,2.7nF ±10% 50V Ceramic Capacitor X7R 0402,0402,2.7nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137593.html
FCC0402N150J500AT,C5137592,15pF ±5% 50V Ceramic Capacitor C0G 0402,0402,15pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137592.html
FCC0402B221K500AT,C5137590,220pF ±10% 50V Ceramic Capacitor X7R 0402,0402,220pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137590.html
FCC0201X105K6R3ZT,C5137589,1uF ±10% 6.3V Ceramic Capacitor X5R 0201,0201,1uF,±10%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137589.html
FCC0603B683K500CT,C5137586,68nF ±10% 50V Ceramic Capacitor X7R 0603,0603,68nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137586.html
FCC0603N0R5C500CT,C5137584,0.5pF 50V Ceramic Capacitor C0G 0603,0603,0.5pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137584.html
FCC0805X475K250FT,C5137571,4.7uF ±10% 25V Ceramic Capacitor X5R 0805,0805,4.7uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137571.html
FCC0603N240J500CT,C5137567,24pF ±5% 50V Ceramic Capacitor C0G 0603,0603,24pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137567.html
FCC0603B823K500CT,C5137566,82nF ±10% 50V Ceramic Capacitor X7R 0603,0603,82nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137566.html
FCC0603B333K500CT,C5137563,33nF ±10% 50V Ceramic Capacitor X7R 0603,0603,33nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137563.html
FCC0603X225K100CT,C5137558,2.2uF ±10% 10V Ceramic Capacitor X5R 0603,0603,2.2uF,±10%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137558.html
FCC0805B224K500FT,C5137556,220nF ±10% 50V Ceramic Capacitor X7R 0805,0805,220nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137556.html
FCC1206B102K202FT,C5137495,1nF ±10% 2kV Ceramic Capacitor X7R 1206,1206,1nF,±10%,2kV,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137495.html
FCC0603B223K500CT,C5137491,22nF ±10% 50V Ceramic Capacitor X7R 0603,0603,22nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137491.html
FCC0603X226M100CT,C46635921,22uF ±20% 10V Ceramic Capacitor X5R 0603,0603,22uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635921.html
FCC0402X225M6R3AT,C46635919,2.2uF ±20% 6.3V Ceramic Capacitor X5R 0402,0402,2.2uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635919.html
FCC0402X393K250AT,C7496650,39nF ±10% 25V Ceramic Capacitor X5R 0402,0402,39nF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496650.html
FCC0603B681K500CT,C7496641,680pF ±10% 50V Ceramic Capacitor X7R 0603,0603,680pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496641.html
