Manufacturer Part Number,Supplier Part Number,Description,Package,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Link
FCC0402N0R5C500AT,C5137618,0.5pF 50V Ceramic Capacitor C0G 0402,0402,0.5pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137618.html
FCC0603B104K101CT,C5137616,100nF ±10% 100V Ceramic Capacitor X7R 0603,0603,100nF,±10%,100V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137616.html
FCC0603N120J500CT,C5137591,12pF ±5% 50V Ceramic Capacitor C0G 0603,0603,12pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137591.html
FCC0603N200J500CT,C5137583,20pF ±5% 50V Ceramic Capacitor C0G 0603,0603,20pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137583.html
FCC1206X107M100HT,C46635924,100uF ±20% 10V Ceramic Capacitor X5R 1206,1206,100uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635924.html
FCC0805N220J500BT,C5137614,22pF ±5% 50V Ceramic Capacitor C0G 0805,0805,22pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137614.html
FCC0805B221K500DT,C5137612,220pF ±10% 50V Ceramic Capacitor X7R 0805,0805,220pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137612.html
FCC0402B681K500AT,C5137577,680pF ±10% 50V Ceramic Capacitor X7R 0402,0402,680pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137577.html
FCC1210X476K160MT,C46635928,47uF ±10% 16V Ceramic Capacitor X5R 1210,1210,47uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635928.html
FCC0402X475M100AT,C46635918,4.7uF ±20% 10V Ceramic Capacitor X5R 0402,0402,4.7uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635918.html
FCC0805B471K500DT,C5137598,470pF ±10% 50V Ceramic Capacitor X7R 0805,0805,470pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137598.html
FCC0402B104K500AT,C5137492,100nF ±10% 50V Ceramic Capacitor X7R 0402,0402,100nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137492.html
FCC0603X226M6R3CT,C46635917,22uF ±20% 6.3V Ceramic Capacitor X5R 0603,0603,22uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635917.html
FCC1206X107M6R3HT,C46635914,100uF ±20% 6.3V Ceramic Capacitor X5R 1206,1206,100uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635914.html
FCC1206X476M100HT,C7467231,47uF ±20% 10V Ceramic Capacitor X5R 1206,1206,47uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467231.html
FCC1206B104K101FT,C5137650,100nF ±10% 100V Ceramic Capacitor X7R 1206,1206,100nF,±10%,100V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137650.html
FCC0603B153K500CT,C5137641,15nF ±10% 50V Ceramic Capacitor X7R 0603,0603,15nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137641.html
FCC0603B682K500CT,C5137585,6.8nF ±10% 50V Ceramic Capacitor X7R 0603,0603,6.8nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137585.html
FCC0805N150J500BT,C7467172,15pF ±5% 50V Ceramic Capacitor C0G 0805,0805,15pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467172.html
FCC0603X475K250CT,C7467112,4.7uF ±10% 25V Ceramic Capacitor X5R 0603,0603,4.7uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467112.html
FCC0603N300J500CT,C7419422,30pF ±5% 50V Ceramic Capacitor C0G 0603,0603,30pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419422.html
FCC0402N100J500AT,C5137557,10pF ±5% 50V Ceramic Capacitor C0G 0402,0402,10pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137557.html
FCC0805B102K500DT,C5137496,1nF ±10% 50V Ceramic Capacitor X7R 0805,0805,1nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137496.html
FCC0805X106K350FT,C49010152,10uF ±10% 35V Ceramic Capacitor X5R 0805,0805,10uF,±10%,35V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C49010152.html
FCC1206X106K250HT,C7467109,10uF ±10% 25V Ceramic Capacitor X5R 1206,1206,10uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467109.html
FCC1206B105K500HT,C7419437,1uF ±10% 50V Ceramic Capacitor X7R 1206,1206,1uF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419437.html
FCC0603X475K160CT,C7419426,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,0603,4.7uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419426.html
FCC0603X105K500CT,C7419424,1uF ±10% 50V Ceramic Capacitor X5R 0603,0603,1uF,±10%,50V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419424.html
FCC0603N330J500CT,C5137624,33pF ±5% 50V Ceramic Capacitor C0G 0603,0603,33pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137624.html
FCC0402B333K160AT,C5137555,33nF ±10% 16V Ceramic Capacitor X7R 0402,0402,33nF,±10%,16V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137555.html
FCC0805X476M6R3FT,C46635922,47uF ±20% 6.3V Ceramic Capacitor X5R 0805,0805,47uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635922.html
FCC0402X106M6R3AT,C46635916,10uF ±20% 6.3V Ceramic Capacitor X5R 0402,0402,10uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635916.html
FCC0603B201K500CT,C7467156,200pF ±10% 50V Ceramic Capacitor X7R 0603,0603,200pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467156.html
FCC0805N680J500BT,C7467128,68pF ±5% 50V Ceramic Capacitor C0G 0805,0805,68pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467128.html
FCC0805X475K500FT,C7467127,4.7uF ±10% 50V Ceramic Capacitor X5R 0805,0805,4.7uF,±10%,50V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467127.html
FCC0603N221J500CT,C7467111,220pF ±5% 50V Ceramic Capacitor C0G 0603,0603,220pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467111.html
FCC0603B224K250CT,C7467041,220nF ±10% 25V Ceramic Capacitor X7R 0603,0603,220nF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467041.html
FCC1206X106K160HT,C5137647,10uF ±10% 16V Ceramic Capacitor X5R 1206,1206,10uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137647.html
FCC0402B332K500AT,C5137602,3.3nF ±10% 50V Ceramic Capacitor X7R 0402,0402,3.3nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137602.html
FCC1206B225K500FT,C5137587,2.2uF ±10% 50V Ceramic Capacitor X7R 1206,1206,2.2uF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137587.html
FCC0402B473K250AT,C5137574,47nF ±10% 25V Ceramic Capacitor X7R 0402,0402,47nF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137574.html
FCC0603B105K250CT,C5137572,1uF ±10% 25V Ceramic Capacitor X7R 0603,0603,1uF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137572.html
FCC0603X106M6R3CT,C5137483,10uF ±20% 6.3V Ceramic Capacitor X5R 0603,0603,10uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137483.html
FCC0603B392K500CT,C7467225,3.9nF ±10% 50V Ceramic Capacitor X7R 0603,0603,3.9nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467225.html
FCC1206B472K500DT,C7467173,4.7nF ±10% 50V Ceramic Capacitor X7R 1206,1206,4.7nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467173.html
FCC0603N560J500CT,C7467157,56pF ±5% 50V Ceramic Capacitor C0G 0603,0603,56pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467157.html
FCC0805B105K250FT,C7467040,1uF ±10% 25V Ceramic Capacitor X7R 0805,0805,1uF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467040.html
FCC0603N6R8C500CT,C7419423,6.8pF 50V Ceramic Capacitor C0G 0603,0603,6.8pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419423.html
FCC0603N1R0D500CT,C7419420,1pF 50V Ceramic Capacitor C0G 0603,0603,1pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419420.html
FCC1206N101J102DT,C5137646,100pF ±5% 1kV Ceramic Capacitor C0G 1206,1206,100pF,±5%,1kV,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137646.html
FCC1206B222K102FT,C5137642,2.2nF ±10% 1kV Ceramic Capacitor X7R 1206,1206,2.2nF,±10%,1kV,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137642.html
FCC0805B223K500DT,C5137639,22nF ±10% 50V Ceramic Capacitor X7R 0805,0805,22nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137639.html
FCC0603B471K500CT,C5137637,470pF ±10% 50V Ceramic Capacitor X7R 0603,0603,470pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137637.html
FCC0402X224K160AT,C5137633,220nF ±10% 16V Ceramic Capacitor X5R 0402,0402,220nF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137633.html
FCC1206N220J102DT,C5137630,22pF ±5% 1kV Ceramic Capacitor C0G 1206,1206,22pF,±5%,1kV,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137630.html
FCC0805B153K500DT,C5137607,15nF ±10% 50V Ceramic Capacitor X7R 0805,0805,15nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137607.html
FCC0603N4R7C500CT,C5137594,4.7pF 50V Ceramic Capacitor C0G 0603,0603,4.7pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137594.html
FCC0603B221K500CT,C5137564,220pF ±10% 50V Ceramic Capacitor X7R 0603,0603,220pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137564.html
FCC0805B105K160DT,C5137498,1uF ±10% 16V Ceramic Capacitor X7R 0805,0805,1uF,±10%,16V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137498.html
FCC0402B104M160AT,C5137487,100nF ±20% 16V Ceramic Capacitor X7R 0402,0402,100nF,±20%,16V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137487.html
FCC0603X105K160CT,C5137472,1uF ±10% 16V Ceramic Capacitor X5R 0603,0603,1uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137472.html
FCC0805X106K100FT,C5137471,10uF ±10% 10V Ceramic Capacitor X5R 0805,0805,10uF,±10%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137471.html
FCC0603N331J500CT,C7467115,330pF ±5% 50V Ceramic Capacitor C0G 0603,0603,330pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467115.html
FCC0402X105K250AT,C7467048,1uF ±10% 25V Ceramic Capacitor X5R 0402,0402,1uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467048.html
FCC0805B471K101DT,C7419430,470pF ±10% 100V Ceramic Capacitor X7R 0805,0805,470pF,±10%,100V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419430.html
FCC0805B104M500DT,C7419429,50V 100nF X7R ±20% 0805 Ceramic Capacitors RoHS,0805,100nF,±20%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419429.html
FCC0603X475K100CT,C7419425,4.7uF ±10% 10V Ceramic Capacitor X5R 0603,0603,4.7uF,±10%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419425.html
FCC0805B475K250FT,C5137649,4.7uF ±10% 25V Ceramic Capacitor X7R 0805,0805,4.7uF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137649.html
FCC0603N1R8C500CT,C5137638,1.8pF 50V Ceramic Capacitor C0G 0603,0603,1.8pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137638.html
FCC0402B223K500AT,C5137627,22nF ±10% 50V Ceramic Capacitor X7R 0402,0402,22nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137627.html
FCC0603N6R0C500CT,C5137610,6pF 50V Ceramic Capacitor C0G 0603,0603,6pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137610.html
FCC0603B152K500CT,C5137609,1.5nF ±10% 50V Ceramic Capacitor X7R 0603,0603,1.5nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137609.html
FCC0805B681K500DT,C5137606,680pF ±10% 50V Ceramic Capacitor X7R 0805,0805,680pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137606.html
FCC0603N561J500CT,C5137605,560pF ±5% 50V Ceramic Capacitor C0G 0603,0603,560pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137605.html
FCC1206B105K500FT,C5137603,1uF ±10% 50V Ceramic Capacitor X7R 1206,1206,1uF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137603.html
FCC0402B222K500AT,C5137601,2.2nF ±10% 50V Ceramic Capacitor X7R 0402,0402,2.2nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137601.html
FCC0805B225K160FT,C5137599,2.2uF ±10% 16V Ceramic Capacitor X7R 0805,0805,2.2uF,±10%,16V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137599.html
FCC0402N560J500AT,C5137588,56pF ±5% 50V Ceramic Capacitor C0G 0402,0402,56pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137588.html
FCC0603X225K6R3CT,C5137560,2.2uF ±10% 6.3V Ceramic Capacitor X5R 0603,0603,2.2uF,±10%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137560.html
FCC0805X106K250FT,C5137488,10uF ±10% 25V Ceramic Capacitor X5R 0805,0805,10uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137488.html
FCC0805X106K160FT,C5137476,10uF ±10% 16V Ceramic Capacitor X5R 0805,0805,10uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137476.html
FCC0603X226M160CT,C46635925,22uF ±20% 16V Ceramic Capacitor X5R 0603,0603,22uF,±20%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635925.html
FCC0603B684K250CT,C7496642,680nF ±10% 25V Ceramic Capacitor X7R 0603,0603,680nF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496642.html
FCC0603B501K500CT,C7496638,500pF ±10% 50V Ceramic Capacitor X7R 0603,0603,500pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7496638.html
FCC0805B151K500DT,C7467159,150pF ±10% 50V Ceramic Capacitor X7R 0805,0805,150pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467159.html
FCC0402B152K500AT,C7467153,50V 1.5nF X7R ±10% 0402 Ceramic Capacitors RoHS,0402,1.5nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467153.html
FCC0402N470J500AT,C7467145,47pF ±5% 50V Ceramic Capacitor C0G 0402,0402,47pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467145.html
FCC0603X225K500CT,C7467132,2.2uF ±10% 50V Ceramic Capacitor X5R 0603,0603,2.2uF,±10%,50V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467132.html
FCC0402B473K500AT,C7467123,47nF ±10% 50V Ceramic Capacitor X7R 0402,0402,47nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467123.html
FCC0805X226M6R3FT,C7467039,22uF ±20% 6.3V Ceramic Capacitor X5R 0805,0805,22uF,±20%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467039.html
FCC1210X226K250MT,C7419439,22uF ±10% 25V Ceramic Capacitor X5R 1210,1210,22uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419439.html
FCC0603B104M500CT,C7419417,100nF ±20% 50V Ceramic Capacitor X7R 0603,0603,100nF,±20%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419417.html
FCC0402N2R7C500AT,C5137648,2.7pF 50V Ceramic Capacitor C0G 0402,0402,2.7pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137648.html
FCC0603B474K250CT,C5137644,470nF ±10% 25V Ceramic Capacitor X7R 0603,0603,470nF,±10%,25V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137644.html
FCC0603B203K500CT,C5137632,20nF ±10% 50V Ceramic Capacitor X7R 0603,0603,20nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137632.html
FCC0603N5R0C500CT,C5137626,5pF 50V Ceramic Capacitor C0G 0603,0603,5pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137626.html
FCC0805N102J500BT,C5137621,1nF ±5% 50V Ceramic Capacitor C0G 0805,0805,1nF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137621.html
FCC0603B331K500CT,C5137615,330pF ±10% 50V Ceramic Capacitor X7R 0603,0603,330pF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137615.html
FCC0402N3R0C500AT,C5137613,3pF 50V Ceramic Capacitor C0G 0402,0402,3pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137613.html
FCC0603N2R2C500CT,C5137608,2.2pF 50V Ceramic Capacitor C0G 0603,0603,2.2pF,,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137608.html
FCC0805X225K250FT,C5137595,2.2uF ±10% 25V Ceramic Capacitor X5R 0805,0805,2.2uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137595.html
