Manufacturer Part Number,Supplier Part Number,Description,Package,Resistance,Tolerance,Voltage Rating,Power,Link
FRH2512B2700TS,C49196928,1W 270Ω 200V Thick Film Resistor ±100ppm/℃ ±0.1% 2512 Chip Resistor - Surface Mount RoHS,2512,270Ω,±0.1%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C49196928.html
FRP2512F1602TS,C49196879,2W 16kΩ 200V Thick Film Resistor ±200ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,2512,16kΩ,±1%,200V,2W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C49196879.html
FRR0805J103 TS,C49196826,125mW 10kΩ 150V Thick Film Resistor ±100ppm/℃ ±5% 0805 Chip Resistor - Surface Mount RoHS,0805,10kΩ,±5%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C49196826.html
FRC0201J470 TS,C46635948,47Ω ±5% 50mW 0201 Thick Film Resistor,0201,47Ω,±5%,25V,50mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C46635948.html
FQL1206FR680TSV,C42372232,250mW 680mΩ Thick Film Resistor ±1% ±50ppm/℃ 1206 Chip Resistor - Surface Mount RoHS,1206,680mΩ,±1%,,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C42372232.html
FRC1210F2370TS,C22375094,237Ω ±1% 500mW 1210 Thick Film Resistor,1210,237Ω,±1%,200V,500mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C22375094.html
FRC1812J624 TS,C18164313,750mW 620kΩ 200V Thick Film Resistor ±100ppm/℃ ±5% 1812 Chip Resistor - Surface Mount RoHS,1812,620kΩ,±5%,200V,750mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C18164313.html
FRQ0805F1741TS,C7471243,125mW 1.74kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,0805,1.74kΩ,±1%,,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7471243.html
FRQ0805F2700TS,C7468600,125mW 270Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,0805,270Ω,±1%,,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7468600.html
FRP2512F4R70TS,C7468231,4.7Ω 2W Thick Film Resistor ±200ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,2512,4.7Ω,±1%,,2W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7468231.html
